1	Alfreds Futterkiste	Maria Anders	Obere Str. 57	Berlin	12209	Germany
2	Ana Trujillo Emparedados y helados	Ana Trujillo	Avda. de la Constitucion 2222	Mexico D.F.	05021	Mexico
3	Antonio Moreno Taqueria	Antonio Moreno	Mataderos 2312	Mexico D.F.	05023	Mexico
4	Around the Horn	Thomas Hardy	120 Hanover Sq.	London	WA1 1DP	UK
5	Berglunds snabbkop	Christina Berglund	Berguvsvagen 8	Lulea	S-958 22	Sweden
6	Blauer See Delikatessen	Hanna Moos	Forsterstr. 57	Mannheim	68306	Germany
7	Blondel pere et fils	Frederique Citeaux	24, place Kleber	Strasbourg	67000	France
8	Bolido Comidas preparadas	Martin Sommer	C/ Araquil, 67	Madrid	28023	Spain
9	Bon app'	Laurence Lebihans	12, rue des Bouchers	Marseille	13008	France
10	Bottom-Dollar Marketse	Elizabeth Lincoln	23 Tsawassen Blvd.	Tsawassen	T2F 8M4	Canada
11	B's Beverages	Victoria Ashworth	Fauntleroy Circus	London	EC2 5NT	UK
12	Cactus Comidas para llevar	Patricio Simpson	Cerrito 333	Buenos Aires	1010	Argentina
13	Centro comercial Moctezuma	Francisco Chang	Sierras de Granada 9993	Mexico D.F.	05022	Mexico
14	Chop-suey Chinese	Yang Wang	Hauptstr. 29	Bern	3012	Switzerland
15	Comercio Mineiro	Pedro Afonso	Av. dos Lusiadas, 23	Sao Paulo	05432-043	Brazil
16	Consolidated Holdings	Elizabeth Brown	Berkeley Gardens 12 Brewery	London	WX1 6LT	UK
17	Drachenblut Delikatessend	Sven Ottlieb	Walserweg 21	Aachen	52066	Germany
18	Du monde entier	Janine Labrune	67, rue des Cinquante Otages	Nantes	44000	France
19	Eastern Connection	Ann Devon	35 King George	London	WX3 6FW	UK
20	Ernst Handel	Roland Mendel	Kirchgasse 6	Graz	8010	Austria
21	Familia Arquibaldo	Aria Cruz	Rua Oros, 92	Sao Paulo	05442-030	Brazil
22	FISSA Fabrica Inter. Salchichas S.A.	Diego Roel	C/ Moralzarzal, 86	Madrid	28034	Spain
23	Folies gourmandes	Martine Rance	184, chaussee de Tournai	Lille	59000	France
24	Frankenversand	Peter Franken	Berliner Platz 43	Munchen	80805	Germany
25	France restauration	Carine Schmitt	54, rue Royale	Nantes	44000	France
26	Franchi S.p.A.	Paolo Accorti	Via Monte Bianco 34	Torino	10100	Italy
27	Furia Bacalhau e Frutos do Mar	Lino Rodriguez	Jardim das rosas n. 32	Lisboa	1675	Portugal
28	Galeria del gastronomo	Eduardo Saavedra	Rambla de Cataluna, 23	Barcelona	08022	Spain
29	Godos Cocina Tipica	Jose Pedro Freyre	C/ Romero, 33	Sevilla	41101	Spain
30	Great Lakes Food Market	Howard Snyder	2732 Baker Blvd.	Eugene	97403	USA
31	GROSELLA-Restaurante	Manuel Pereira	5 Ave. Los Palos Grandes	Caracas	1081	Venezuela
32	Hanari Carnes	Mario Pontes	Rua do Paco, 67	Rio de Janeiro	05454-876	Brazil
33	HILARION-Abastos	Carlos Hernandez	Carrera 22 con Ave. Carlos Soublette #8-35	San Cristobal	5022	Venezuela
34	Hungry Coyote Import Store	Yoshi Latimer	City Center Plaza 516 Main St.	Elgin	97827	USA
35	Hungry Owl All-Night Grocers	Patricia McKenna	8 Johnstown Road	Cork		Ireland
36	Island Trading	Helen Bennett	Garden House Crowther Way	Cowes	PO31 7PJ	UK
37	Koniglich Essen	Philip Cramer	Maubelstr. 90	Brandenburg	14776	Germany
38	La corne d'abondance	Daniel Tonini	67, avenue de l'Europe	Versailles	78000	France
39	La maison d'Asie	Annette Roulet	1 rue Alsace-Lorraine	Toulouse	31000	France
40	Laughing Bacchus Wine Cellars	Yoshi Tannamuri	1900 Oak St.	Vancouver	V3F 2K1	Canada
41	Lazy K Kountry Store	John Steel	12 Orchestra Terrace	Walla Walla	99362	USA
42	Lehmanns Marktstand	Renate Messner	Magazinweg 7	Frankfurt a.M.	60528	Germany
43	Let's Stop N Shop	Jaime Yorres	87 Polk St. Suite 5	San Francisco	94117	USA
44	LILA-Supermercado	Carlos Gonzalez	Carrera 52 con Ave. Bolivar #65-98 Llano Largo	Barquisimeto	3508	Venezuela
45	LINO-Delicateses	Felipe Izquierdo	Ave. 5 de Mayo Porlamar	I. de Margarita	4980	Venezuela
46	Lonesome Pine Restaurant	Fran Wilson	89 Chiaroscuro Rd.	Portland	97219	USA
47	Magazzini Alimentari Riuniti	Giovanni Rovelli	Via Ludovico il Moro 22	Bergamo	24100	Italy
